COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|23|0|23|23|0|0|0|0|0
01|M|18 a 20 años|757|0|757|46|744|0|0|0|0
01|M|21 a 24 años|3177|0|3177|90|3173|5|0|0|0
01|M|25 a 29 años|4950|0|4950|183|4932|28|5|0|0
01|M|30 a 34 años|5304|0|5304|361|5278|41|18|0|0
01|M|35 a 39 años|6581|0|6581|588|6551|42|30|0|0
01|M|40 a 44 años|8792|0|8792|943|8764|70|76|0|0
01|M|45 a 49 años|11421|0|11421|1401|11371|150|110|0|0
01|M|50 a 54 años|11115|0|11115|1545|11051|94|95|0|0
01|M|55 a 59 años|9612|0|9612|910|9539|76|61|0|0
01|M|60 a 64 años|8298|0|8298|604|8238|43|33|0|0
01|M|65 a 69 años|6620|0|6620|403|6574|8|5|0|0
01|M|70 a 74 años|3925|0|3925|230|3875|2|1|0|0
01|M|Más de 74 años|2977|0|2977|365|2820|2|2|0|0
01|V|15 a 17 años|107|11|117|107|0|0|0|0|11
01|V|18 a 20 años|1489|5|1493|237|1439|0|0|0|5
01|V|21 a 24 años|4381|1|4382|492|4361|78|3|0|1
01|V|25 a 29 años|6095|0|6095|905|6060|238|32|0|0
01|V|30 a 34 años|6795|0|6795|1543|6743|336|64|0|0
01|V|35 a 39 años|7875|0|7875|2479|7826|560|172|0|0
01|V|40 a 44 años|10026|0|10026|3318|9991|897|339|0|0
01|V|45 a 49 años|12420|0|12420|4511|12299|1232|459|0|0
01|V|50 a 54 años|13053|0|13053|4883|12882|1618|743|0|0
01|V|55 a 59 años|11954|0|11954|3900|11824|1701|897|0|0
01|V|60 a 64 años|10670|1|10670|3576|10559|1501|724|0|1
01|V|65 a 69 años|9084|0|9084|3339|8974|644|319|0|0
01|V|70 a 74 años|7432|0|7432|2599|7320|219|114|0|0
01|V|Más de 74 años|11914|1|11914|6286|10695|88|39|0|1
02|M|15 a 17 años|56|0|56|56|0|0|0|0|0
02|M|18 a 20 años|1426|0|1426|123|1393|2|0|0|0
02|M|21 a 24 años|4901|0|4901|191|4888|20|0|0|0
02|M|25 a 29 años|7447|0|7447|332|7435|59|2|0|0
02|M|30 a 34 años|8298|0|8298|986|8267|69|6|0|0
02|M|35 a 39 años|9489|0|9489|1743|9448|95|16|0|0
02|M|40 a 44 años|10704|0|10704|2668|10645|162|38|0|0
02|M|45 a 49 años|13309|0|13309|3443|13131|260|73|0|0
02|M|50 a 54 años|12685|0|12685|3463|12412|157|55|0|0
02|M|55 a 59 años|11573|0|11573|2319|11308|91|49|0|0
02|M|60 a 64 años|9542|0|9542|1608|9236|32|20|0|0
02|M|65 a 69 años|6632|0|6632|959|6415|12|7|0|0
02|M|70 a 74 años|3273|0|3273|387|3106|4|1|0|0
02|M|Más de 74 años|2199|0|2199|378|1949|1|1|0|0
02|V|15 a 17 años|435|5|437|435|0|0|0|0|5
02|V|18 a 20 años|2995|3|2995|765|2777|8|0|0|3
02|V|21 a 24 años|6585|1|6586|1196|6519|227|1|0|1
02|V|25 a 29 años|9421|0|9421|1804|9386|596|42|0|0
02|V|30 a 34 años|9905|0|9905|3650|9851|972|76|0|0
02|V|35 a 39 años|11070|0|11070|5706|11005|1345|128|0|0
02|V|40 a 44 años|11531|0|11531|6590|11448|1833|285|0|0
02|V|45 a 49 años|13351|1|13351|7841|13061|2473|479|0|1
02|V|50 a 54 años|13914|1|13914|8632|13519|2634|1057|0|1
02|V|55 a 59 años|14255|4|14255|7743|13829|2611|1250|0|4
02|V|60 a 64 años|13462|5|13462|7876|13007|2380|1140|0|5
02|V|65 a 69 años|11170|15|11170|7321|10737|905|371|0|15
02|V|70 a 74 años|7676|10|7676|5550|7242|232|119|0|10
02|V|Más de 74 años|15091|54|15091|13268|10418|97|37|0|54
03|M|15 a 17 años|1200|0|1200|1200|0|0|0|0|0
03|M|18 a 20 años|8572|0|8572|2113|7489|1|0|0|0
03|M|21 a 24 años|23183|0|23183|2394|22828|34|2|0|0
03|M|25 a 29 años|33078|0|33078|2697|32879|98|19|0|0
03|M|30 a 34 años|37357|0|37357|5800|37091|137|40|0|0
03|M|35 a 39 años|44126|0|44126|10563|43747|195|78|0|0
03|M|40 a 44 años|50882|0|50882|15271|50410|246|126|0|0
03|M|45 a 49 años|61295|0|61295|20800|60056|429|194|0|0
03|M|50 a 54 años|59365|0|59365|22123|57736|621|175|0|0
03|M|55 a 59 años|54440|0|54440|17570|52925|781|157|0|0
03|M|60 a 64 años|47050|0|47050|14689|45564|818|79|0|0
03|M|65 a 69 años|37794|0|37794|9979|36596|608|29|0|0
03|M|70 a 74 años|24312|0|24312|5636|23444|375|15|0|0
03|M|Más de 74 años|24041|0|24041|7364|21459|109|8|0|0
03|V|15 a 17 años|3048|0|3048|3048|0|0|0|0|0
03|V|18 a 20 años|13585|0|13585|5449|11268|7|1|0|0
03|V|21 a 24 años|29658|0|29658|7753|28750|430|10|0|0
03|V|25 a 29 años|39622|0|39622|9523|39114|1368|110|0|0
03|V|30 a 34 años|42539|0|42539|15684|41962|1881|243|0|0
03|V|35 a 39 años|48938|0|48938|24749|48344|2976|513|0|0
03|V|40 a 44 años|56940|0|56940|32301|56247|4923|1027|0|0
03|V|45 a 49 años|71417|1|71418|42062|69480|7863|1822|0|1
03|V|50 a 54 años|70658|0|70658|44650|68545|9429|3317|0|0
03|V|55 a 59 años|65438|0|65438|41399|63156|9027|3668|0|0
03|V|60 a 64 años|58658|1|58658|40184|56604|7804|3033|0|1
03|V|65 a 69 años|50575|0|50575|35311|48764|3694|1244|0|0
03|V|70 a 74 años|39583|4|39583|27123|38082|1612|450|0|4
03|V|Más de 74 años|62778|0|62778|46924|53985|807|225|0|0
04|M|15 a 17 años|95|0|95|95|0|0|0|0|0
04|M|18 a 20 años|2738|0|2738|188|2651|1|0|0|0
04|M|21 a 24 años|9095|0|9095|284|9067|32|0|0|0
04|M|25 a 29 años|14060|0|14060|523|14037|95|9|0|0
04|M|30 a 34 años|16008|0|16008|1589|15954|163|24|0|0
04|M|35 a 39 años|18557|0|18557|2987|18474|216|33|0|0
04|M|40 a 44 años|20793|0|20793|4513|20651|313|86|0|0
04|M|45 a 49 años|23356|0|23356|6215|22974|345|89|0|0
04|M|50 a 54 años|21522|0|21522|6200|21039|313|87|0|0
04|M|55 a 59 años|19081|0|19081|4739|18587|321|68|0|0
04|M|60 a 64 años|15492|0|15492|3519|15061|285|45|0|0
04|M|65 a 69 años|11797|0|11797|2458|11445|195|17|0|0
04|M|70 a 74 años|6535|0|6535|1381|6238|101|4|0|0
04|M|Más de 74 años|4912|0|4912|1307|4436|16|2|0|0
04|V|15 a 17 años|836|0|836|836|0|0|0|0|0
04|V|18 a 20 años|5174|0|5174|1417|4622|11|0|0|0
04|V|21 a 24 años|11960|0|11960|2070|11728|412|7|0|0
04|V|25 a 29 años|17808|0|17808|3105|17658|1345|77|0|0
04|V|30 a 34 años|20192|0|20192|5807|20043|2065|172|0|0
04|V|35 a 39 años|22995|0|22995|10135|22784|3158|391|0|0
04|V|40 a 44 años|25454|0|25454|12523|25160|4389|779|0|0
04|V|45 a 49 años|29853|0|29853|15468|29055|5697|1273|0|0
04|V|50 a 54 años|27843|1|27843|15233|26878|5686|2035|0|1
04|V|55 a 59 años|24983|0|24983|14203|23978|4710|2043|0|0
04|V|60 a 64 años|21684|1|21684|13572|20634|3781|1616|0|1
04|V|65 a 69 años|18279|0|18279|12537|17235|1835|646|0|0
04|V|70 a 74 años|13398|3|13398|9618|12425|693|196|0|3
04|V|Más de 74 años|19184|3|19184|15166|14307|218|75|0|3
05|M|15 a 17 años|21|1|22|21|0|0|0|0|1
05|M|18 a 20 años|622|0|622|59|611|0|0|0|0
05|M|21 a 24 años|1796|0|1796|90|1791|7|0|0|0
05|M|25 a 29 años|2734|0|2734|109|2733|13|1|0|0
05|M|30 a 34 años|2951|0|2951|329|2945|17|1|0|0
05|M|35 a 39 años|3459|0|3459|486|3449|30|10|0|0
05|M|40 a 44 años|3952|0|3952|650|3945|48|15|0|0
05|M|45 a 49 años|4743|0|4743|818|4701|53|19|0|0
05|M|50 a 54 años|4805|0|4805|955|4749|45|23|0|0
05|M|55 a 59 años|4728|0|4728|559|4678|21|5|0|0
05|M|60 a 64 años|4278|0|4278|414|4230|19|10|0|0
05|M|65 a 69 años|3260|0|3260|276|3213|6|3|0|0
05|M|70 a 74 años|1740|0|1740|130|1700|0|0|0|0
05|M|Más de 74 años|1333|0|1333|145|1268|0|0|0|0
05|V|15 a 17 años|178|0|178|178|0|0|0|0|0
05|V|18 a 20 años|1068|4|1071|267|1008|0|0|0|4
05|V|21 a 24 años|2187|2|2189|379|2176|70|0|0|2
05|V|25 a 29 años|3084|0|3084|560|3071|192|32|0|0
05|V|30 a 34 años|3456|0|3456|1112|3445|291|45|0|0
