COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
03|V|50 a 54 años|71072|0|71072|44837|68966|9391|3297|0|0
03|V|55 a 59 años|65592|0|65592|41424|63324|8980|3655|0|0
03|V|60 a 64 años|59025|1|59025|40326|56972|7784|3046|0|1
03|V|65 a 69 años|51126|0|51126|35761|49309|3668|1218|0|0
03|V|70 a 74 años|39740|4|39740|27234|38245|1674|485|0|4
03|V|Más de 74 años|63328|0|63328|47308|54529|837|230|0|0
04|M|15 a 17 años|91|0|91|91|0|0|0|0|0
04|M|18 a 20 años|2677|0|2677|198|2577|1|0|0|0
04|M|21 a 24 años|9092|0|9092|284|9064|29|0|0|0
04|M|25 a 29 años|14170|0|14170|513|14148|101|9|0|0
04|M|30 a 34 años|15909|0|15909|1505|15852|163|25|0|0
04|M|35 a 39 años|18503|0|18503|2975|18419|222|38|0|0
04|M|40 a 44 años|20656|0|20656|4396|20521|316|78|0|0
04|M|45 a 49 años|23410|0|23410|6180|23038|347|91|0|0
04|M|50 a 54 años|21632|0|21632|6241|21146|328|95|0|0
04|M|55 a 59 años|19196|0|19196|4847|18701|312|68|0|0
04|M|60 a 64 años|15753|0|15753|3648|15324|312|42|0|0
04|M|65 a 69 años|12100|0|12100|2530|11741|211|19|0|0
04|M|70 a 74 años|6645|0|6645|1431|6353|100|4|0|0
04|M|Más de 74 años|5075|0|5075|1349|4583|18|2|0|0
04|V|15 a 17 años|792|0|792|792|0|0|0|0|0
04|V|18 a 20 años|5137|0|5137|1433|4549|15|0|0|0
04|V|21 a 24 años|11985|0|11985|2080|11758|408|6|0|0
04|V|25 a 29 años|17829|0|17829|3108|17684|1341|74|0|0
04|V|30 a 34 años|20224|0|20224|5581|20079|2047|179|0|0
04|V|35 a 39 años|23011|0|23011|10060|22800|3134|385|0|0
04|V|40 a 44 años|25179|0|25179|12344|24894|4348|771|0|0
04|V|45 a 49 años|29848|0|29848|15456|29079|5674|1240|0|0
04|V|50 a 54 años|28021|0|28021|15314|27072|5698|1992|0|0
04|V|55 a 59 años|25045|1|25045|14192|24031|4802|2066|0|1
04|V|60 a 64 años|21837|1|21837|13551|20807|3829|1647|0|1
04|V|65 a 69 años|18498|0|18498|12673|17474|1871|644|0|0
04|V|70 a 74 años|13533|3|13533|9744|12567|715|215|0|3
04|V|Más de 74 años|19381|3|19381|15307|14490|229|78|0|3
05|M|15 a 17 años|19|0|19|19|0|0|0|0|0
05|M|18 a 20 años|649|0|649|60|635|0|0|0|0
05|M|21 a 24 años|1778|0|1778|87|1775|7|0|0|0
05|M|25 a 29 años|2741|0|2741|109|2740|10|1|0|0
05|M|30 a 34 años|2945|0|2945|319|2940|18|1|0|0
05|M|35 a 39 años|3444|0|3444|484|3435|31|11|0|0
05|M|40 a 44 años|3933|0|3933|652|3927|45|15|0|0
05|M|45 a 49 años|4734|0|4734|794|4695|54|19|0|0
05|M|50 a 54 años|4783|0|4783|973|4727|47|23|0|0
05|M|55 a 59 años|4763|0|4763|567|4710|22|5|0|0
05|M|60 a 64 años|4286|0|4286|422|4240|20|11|0|0
05|M|65 a 69 años|3339|0|3339|286|3293|4|2|0|0
05|M|70 a 74 años|1775|0|1775|128|1737|0|0|0|0
05|M|Más de 74 años|1376|0|1376|154|1307|0|0|0|0
05|V|15 a 17 años|193|1|193|193|0|0|0|0|1
05|V|18 a 20 años|1126|2|1128|264|1069|0|0|0|2
05|V|21 a 24 años|2211|2|2213|390|2198|68|0|0|2
05|V|25 a 29 años|3097|0|3097|575|3082|199|30|0|0
05|V|30 a 34 años|3391|0|3391|1061|3382|290|42|0|0
05|V|35 a 39 años|3883|0|3883|1607|3859|500|89|0|0
05|V|40 a 44 años|4337|0|4337|1957|4315|758|232|0|0
05|V|45 a 49 años|5382|0|5382|2407|5325|955|279|0|0
05|V|50 a 54 años|5648|0|5648|2624|5568|1042|410|0|0
05|V|55 a 59 años|5700|0|5700|2196|5598|1022|563|0|0
05|V|60 a 64 años|5873|1|5873|2341|5751|891|445|0|1
05|V|65 a 69 años|5549|1|5549|2341|5397|468|178|0|1
05|V|70 a 74 años|4384|2|4384|1868|4208|169|89|0|2
05|V|Más de 74 años|7686|7|7688|4724|5882|66|25|0|7
06|M|15 a 17 años|187|0|187|187|0|0|0|0|0
06|M|18 a 20 años|2873|0|2873|355|2755|0|0|0|0
06|M|21 a 24 años|8862|0|8862|469|8831|40|4|0|0
06|M|25 a 29 años|13540|0|13540|537|13525|110|32|0|0
06|M|30 a 34 años|15438|0|15438|1355|15415|137|47|0|0
06|M|35 a 39 años|17720|0|17720|2290|17691|175|65|0|0
06|M|40 a 44 años|18780|0|18780|3023|18730|194|72|0|0
06|M|45 a 49 años|21256|0|21256|3649|21090|211|77|0|0
06|M|50 a 54 años|20515|0|20515|4192|20178|133|70|0|0
06|M|55 a 59 años|18824|1|18824|3074|18466|86|55|0|1
06|M|60 a 64 años|15297|0|15297|2018|14928|43|27|0|0
06|M|65 a 69 años|10573|1|10573|1326|10242|8|3|0|1
06|M|70 a 74 años|5445|0|5445|638|5195|5|0|0|0
06|M|Más de 74 años|3696|0|3696|472|3452|1|1|0|0
06|V|15 a 17 años|1197|25|1214|1197|0|0|0|0|25
06|V|18 a 20 años|5942|4|5944|1744|5448|8|0|0|4
06|V|21 a 24 años|11384|2|11385|2172|11273|299|15|0|2
06|V|25 a 29 años|15575|0|15575|3114|15524|941|73|0|0
06|V|30 a 34 años|17298|1|17298|6415|17236|1391|136|0|1
06|V|35 a 39 años|19401|0|19401|9734|19298|2343|293|0|0
06|V|40 a 44 años|20714|2|20715|11316|20590|3367|561|0|2
06|V|45 a 49 años|23174|2|23174|12200|22810|3871|844|0|2
06|V|50 a 54 años|24568|7|24569|14146|23865|4198|1618|0|7
06|V|55 a 59 años|24054|16|24058|12794|23214|3692|1802|2|14
06|V|60 a 64 años|23598|21|23598|13419|22482|3145|1460|0|21
06|V|65 a 69 años|20232|23|20232|13899|18933|1275|488|0|23
06|V|70 a 74 años|14620|34|14620|10355|13359|384|193|0|34
06|V|Más de 74 años|26607|73|26608|21633|17703|219|106|0|73
07|M|15 a 17 años|858|0|858|858|0|0|0|0|0
07|M|18 a 20 años|4255|0|4255|1498|3510|0|0|0|0
07|M|21 a 24 años|12977|0|12977|2108|12704|23|2|0|0
07|M|25 a 29 años|22226|0|22226|4013|22044|150|51|0|0
07|M|30 a 34 años|31168|0|31168|7741|30924|349|144|0|0
07|M|35 a 39 años|34679|0|34679|11837|34328|494|237|0|0
07|M|40 a 44 años|41832|0|41832|18364|41386|965|498|0|0
07|M|45 a 49 años|42601|0|42601|16958|41712|749|365|0|0
07|M|50 a 54 años|38956|0|38956|17469|37798|559|244|0|0
07|M|55 a 59 años|33861|1|33862|14709|32723|512|122|1|0
07|M|60 a 64 años|28178|2|28178|11109|27203|415|74|1|1
07|M|65 a 69 años|22829|0|22829|6772|21973|176|16|0|0
07|M|70 a 74 años|15989|0|15989|4064|15230|83|7|0|0
07|M|Más de 74 años|19380|0|19380|6530|15998|37|2|0|0
07|V|15 a 17 años|2201|2|2202|2201|0|0|0|0|2
07|V|18 a 20 años|7958|2|7959|3729|6441|6|0|0|2
07|V|21 a 24 años|17378|0|17378|5465|16770|262|18|0|0
07|V|25 a 29 años|22669|0|22669|6469|22308|733|169|0|0
07|V|30 a 34 años|22641|0|22641|8847|22318|996|286|0|0
07|V|35 a 39 años|27383|0|27383|13795|27011|1651|658|0|0
07|V|40 a 44 años|29057|0|29057|14548|28658|2197|936|0|0
07|V|45 a 49 años|40250|0|40250|24713|39102|3912|1568|0|0
07|V|50 a 54 años|43184|1|43184|28508|41713|4803|2341|0|1
07|V|55 a 59 años|38395|0|38395|25945|36914|4493|2434|0|0
