COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|20|0|20|20|0|0|0|0|0
01|M|18 a 20 años|745|0|745|49|729|0|0|0|0
01|M|21 a 24 años|3194|0|3194|88|3190|5|0|0|0
01|M|25 a 29 años|4956|0|4956|183|4939|26|5|0|0
01|M|30 a 34 años|5292|0|5292|351|5267|43|20|0|0
01|M|35 a 39 años|6549|0|6549|601|6514|43|32|0|0
01|M|40 a 44 años|8719|0|8719|914|8693|68|76|0|0
01|M|45 a 49 años|11297|0|11297|1368|11246|147|107|0|0
01|M|50 a 54 años|11169|0|11169|1564|11108|96|98|0|0
01|M|55 a 59 años|9616|0|9616|916|9544|76|59|0|0
01|M|60 a 64 años|8320|0|8320|615|8257|45|36|0|0
01|M|65 a 69 años|6690|0|6690|405|6648|8|6|0|0
01|M|70 a 74 años|3968|0|3968|239|3916|2|1|0|0
01|M|Más de 74 años|3036|0|3036|361|2879|1|1|0|0
01|V|15 a 17 años|104|13|115|104|0|0|0|0|13
01|V|18 a 20 años|1488|5|1492|237|1435|0|0|0|5
01|V|21 a 24 años|4390|0|4390|486|4372|78|3|0|0
01|V|25 a 29 años|6116|1|6117|920|6079|235|33|0|1
01|V|30 a 34 años|6806|0|6806|1520|6753|320|59|0|0
01|V|35 a 39 años|7853|0|7853|2464|7803|552|169|0|0
01|V|40 a 44 años|9924|0|9924|3272|9891|886|340|0|0
01|V|45 a 49 años|12327|0|12327|4467|12209|1202|445|0|0
01|V|50 a 54 años|13068|0|13068|4903|12900|1601|729|0|0
01|V|55 a 59 años|11966|0|11966|3909|11834|1720|908|0|0
01|V|60 a 64 años|10705|1|10705|3590|10596|1469|719|0|1
01|V|65 a 69 años|9070|0|9070|3321|8963|655|309|0|0
01|V|70 a 74 años|7475|0|7475|2612|7359|225|117|0|0
01|V|Más de 74 años|12001|1|12001|6296|10784|90|40|0|1
02|M|15 a 17 años|52|0|52|52|0|0|0|0|0
02|M|18 a 20 años|1431|0|1431|120|1392|2|0|0|0
02|M|21 a 24 años|4923|0|4923|197|4911|19|1|0|0
02|M|25 a 29 años|7441|0|7441|323|7429|59|4|0|0
02|M|30 a 34 años|8207|0|8207|951|8179|65|7|0|0
02|M|35 a 39 años|9500|0|9500|1729|9461|96|17|0|0
02|M|40 a 44 años|10602|0|10602|2632|10544|163|36|0|0
02|M|45 a 49 años|13209|0|13209|3400|13033|258|71|0|0
02|M|50 a 54 años|12712|0|12712|3482|12442|164|59|0|0
02|M|55 a 59 años|11618|0|11618|2327|11353|93|49|0|0
02|M|60 a 64 años|9590|0|9590|1634|9294|33|20|0|0
02|M|65 a 69 años|6768|0|6768|979|6540|12|6|0|0
