COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|18|0|18|18|0|0|0|0|0
01|M|18 a 20 años|755|0|755|51|740|0|0|0|0
01|M|21 a 24 años|3164|0|3164|84|3160|7|0|0|0
01|M|25 a 29 años|4977|0|4977|179|4962|24|5|0|0
01|M|30 a 34 años|5272|0|5272|354|5248|40|20|0|0
01|M|35 a 39 años|6546|0|6546|595|6512|43|30|0|0
01|M|40 a 44 años|8590|0|8590|894|8564|67|76|0|0
01|M|45 a 49 años|11229|0|11229|1353|11181|153|107|0|0
01|M|50 a 54 años|11189|0|11189|1578|11126|96|98|0|0
01|M|55 a 59 años|9670|0|9670|941|9599|76|57|0|0
01|M|60 a 64 años|8366|0|8366|625|8303|46|36|0|0
01|M|65 a 69 años|6766|0|6766|406|6724|7|6|0|0
01|M|70 a 74 años|4021|0|4021|245|3972|2|1|0|0
01|M|Más de 74 años|3086|0|3086|364|2924|1|1|0|0
01|V|15 a 17 años|104|13|115|104|0|0|0|0|13
01|V|18 a 20 años|1463|5|1467|235|1405|0|0|0|5
01|V|21 a 24 años|4427|0|4427|488|4408|70|4|0|0
01|V|25 a 29 años|6133|1|6134|923|6095|237|33|0|1
01|V|30 a 34 años|6806|0|6806|1481|6757|310|59|0|0
01|V|35 a 39 años|7772|0|7772|2447|7721|544|163|0|0
01|V|40 a 44 años|9875|0|9875|3232|9843|877|338|0|0
01|V|45 a 49 años|12295|0|12295|4475|12179|1205|442|0|0
01|V|50 a 54 años|13036|0|13036|4896|12868|1573|704|0|0
01|V|55 a 59 años|12042|0|12042|3954|11908|1737|903|0|0
01|V|60 a 64 años|10768|1|10768|3584|10663|1454|731|0|1
01|V|65 a 69 años|9105|0|9105|3334|8994|671|311|0|0
01|V|70 a 74 años|7510|0|7510|2633|7402|229|124|0|0
01|V|Más de 74 años|12117|1|12117|6313|10889|95|41|0|1
02|M|15 a 17 años|46|0|46|46|0|0|0|0|0
02|M|18 a 20 años|1413|0|1413|124|1373|2|0|0|0
02|M|21 a 24 años|4867|0|4867|197|4854|19|0|0|0
02|M|25 a 29 años|7430|0|7430|321|7419|58|5|0|0
02|M|30 a 34 años|8219|0|8219|917|8193|68|8|0|0
02|M|35 a 39 años|9488|0|9488|1734|9443|96|18|0|0
02|M|40 a 44 años|10510|0|10510|2582|10454|162|36|0|0
02|M|45 a 49 años|13079|0|13079|3361|12909|248|67|0|0
02|M|50 a 54 años|12803|0|12803|3520|12542|182|63|0|0
02|M|55 a 59 años|11629|0|11629|2356|11357|93|45|0|0
02|M|60 a 64 años|9676|0|9676|1654|9381|33|19|0|0
02|M|65 a 69 años|6860|0|6860|1011|6632|11|7|0|0
02|M|70 a 74 años|3372|0|3372|399|3205|5|1|0|0
02|M|Más de 74 años|2301|0|2301|392|2044|1|1|0|0
02|V|15 a 17 años|439|4|440|439|0|0|0|0|4
02|V|18 a 20 años|3083|3|3084|766|2886|9|0|0|3
02|V|21 a 24 años|6624|1|6625|1211|6552|232|3|0|1
