COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|21|0|21|21|0|0|0|0|0
01|M|18 a 20 años|745|0|745|49|729|0|0|0|0
01|M|21 a 24 años|3197|0|3197|89|3194|5|0|0|0
01|M|25 a 29 años|4953|0|4953|181|4935|27|4|0|0
01|M|30 a 34 años|5307|0|5307|355|5283|41|20|0|0
01|M|35 a 39 años|6573|0|6573|605|6539|43|34|0|0
01|M|40 a 44 años|8736|0|8736|923|8710|69|77|0|0
01|M|45 a 49 años|11364|0|11364|1393|11311|149|109|0|0
01|M|50 a 54 años|11152|0|11152|1553|11091|95|98|0|0
01|M|55 a 59 años|9600|0|9600|912|9527|76|60|0|0
01|M|60 a 64 años|8315|0|8315|607|8253|44|34|0|0
01|M|65 a 69 años|6647|0|6647|403|6605|8|5|0|0
01|M|70 a 74 años|3946|0|3946|235|3895|2|1|0|0
01|M|Más de 74 años|3008|0|3008|363|2851|2|2|0|0
01|V|15 a 17 años|104|10|113|104|0|0|0|0|10
01|V|18 a 20 años|1473|6|1478|236|1420|0|0|0|6
01|V|21 a 24 años|4409|1|4410|486|4390|78|3|0|1
01|V|25 a 29 años|6110|0|6110|916|6073|235|33|0|0
01|V|30 a 34 años|6815|0|6815|1533|6764|327|63|0|0
01|V|35 a 39 años|7838|0|7838|2465|7789|558|168|0|0
01|V|40 a 44 años|9977|0|9977|3304|9943|896|341|0|0
01|V|45 a 49 años|12389|0|12389|4487|12271|1209|452|0|0
01|V|50 a 54 años|13024|0|13024|4885|12853|1616|742|0|0
01|V|55 a 59 años|11971|0|11971|3909|11842|1721|904|0|0
01|V|60 a 64 años|10681|1|10681|3570|10571|1487|721|0|1
01|V|65 a 69 años|9060|0|9060|3327|8952|641|308|0|0
01|V|70 a 74 años|7450|0|7450|2602|7337|225|116|0|0
01|V|Más de 74 años|11932|1|11932|6276|10716|89|41|0|1
02|M|15 a 17 años|53|0|53|53|0|0|0|0|0
02|M|18 a 20 años|1427|0|1427|122|1390|2|0|0|0
02|M|21 a 24 años|4923|0|4923|192|4910|20|0|0|0
02|M|25 a 29 años|7414|0|7414|328|7402|58|4|0|0
02|M|30 a 34 años|8256|0|8256|973|8226|67|7|0|0
02|M|35 a 39 años|9501|0|9501|1730|9459|95|16|0|0
02|M|40 a 44 años|10633|0|10633|2647|10577|164|36|0|0
02|M|45 a 49 años|13260|0|13260|3417|13082|260|71|0|0
02|M|50 a 54 años|12693|0|12693|3469|12423|161|57|0|0
02|M|55 a 59 años|11612|0|11612|2329|11347|91|49|0|0
02|M|60 a 64 años|9561|0|9561|1616|9261|31|19|0|0
02|M|65 a 69 años|6696|0|6696|977|6472|12|6|0|0
02|M|70 a 74 años|3302|0|3302|386|3136|4|1|0|0
02|M|Más de 74 años|2227|0|2227|378|1978|1|1|0|0
02|V|15 a 17 años|433|4|434|433|0|0|0|0|4
02|V|18 a 20 años|3037|4|3038|764|2822|9|0|0|4
02|V|21 a 24 años|6600|1|6601|1208|6534|227|1|0|1
02|V|25 a 29 años|9402|0|9402|1795|9366|596|43|0|0
02|V|30 a 34 años|9897|0|9897|3608|9845|966|73|0|0
02|V|35 a 39 años|11024|0|11024|5673|10956|1356|129|0|0
02|V|40 a 44 años|11507|0|11507|6577|11428|1831|283|0|0
02|V|45 a 49 años|13346|1|13346|7818|13058|2464|477|0|1
02|V|50 a 54 años|13886|1|13886|8620|13493|2615|1041|0|1
02|V|55 a 59 años|14224|4|14224|7725|13803|2642|1271|0|4
02|V|60 a 64 años|13445|5|13445|7852|13000|2383|1144|0|5
02|V|65 a 69 años|11237|14|11237|7355|10804|903|366|0|14
02|V|70 a 74 años|7666|10|7666|5530|7239|231|120|0|10
02|V|Más de 74 años|15059|52|15059|13235|10414|98|38|0|52
03|M|15 a 17 años|1209|0|1209|1209|0|0|0|0|0
03|M|18 a 20 años|8613|0|8613|2116|7542|2|0|0|0
03|M|21 a 24 años|23238|0|23238|2412|22888|34|2|0|0
03|M|25 a 29 años|33172|0|33172|2721|32969|99|20|0|0
03|M|30 a 34 años|37314|0|37314|5712|37045|137|39|0|0
03|M|35 a 39 años|44157|0|44157|10531|43778|190|77|0|0
03|M|40 a 44 años|50849|0|50849|15189|50374|253|129|0|0
03|M|45 a 49 años|61221|0|61221|20780|60006|431|197|0|0
03|M|50 a 54 años|59509|0|59509|22140|57876|611|172|0|0
03|M|55 a 59 años|54539|0|54539|17668|53019|779|160|0|0
03|M|60 a 64 años|47214|0|47214|14798|45730|805|80|0|0
03|M|65 a 69 años|37976|0|37976|10068|36779|608|29|0|0
03|M|70 a 74 años|24436|0|24436|5652|23579|387|16|0|0
03|M|Más de 74 años|24220|0|24220|7415|21645|111|7|0|0
03|V|15 a 17 años|3121|0|3121|3121|0|0|0|0|0
03|V|18 a 20 años|13679|0|13679|5444|11406|6|1|0|0
03|V|21 a 24 años|29722|0|29722|7792|28821|440|10|0|0
03|V|25 a 29 años|39766|0|39766|9575|39257|1364|113|0|0
03|V|30 a 34 años|42667|0|42667|15527|42101|1875|242|0|0
03|V|35 a 39 años|48979|0|48979|24728|48386|2972|504|0|0
03|V|40 a 44 años|56790|0|56790|32138|56124|4900|1033|0|0
03|V|45 a 49 años|71336|1|71337|41963|69421|7851|1792|0|1
03|V|50 a 54 años|70814|0|70814|44734|68698|9415|3309|0|0
03|V|55 a 59 años|65475|0|65475|41388|63200|9043|3668|0|0
03|V|60 a 64 años|58757|1|58757|40182|56708|7796|3048|0|1
03|V|65 a 69 años|50619|0|50619|35391|48819|3715|1242|0|0
03|V|70 a 74 años|39614|4|39614|27174|38123|1656|465|0|4
03|V|Más de 74 años|62844|0|62844|46918|54093|820|226|0|0
04|M|15 a 17 años|92|0|92|92|0|0|0|0|0
04|M|18 a 20 años|2751|0|2751|198|2658|1|0|0|0
04|M|21 a 24 años|9098|0|9098|276|9072|32|0|0|0
04|M|25 a 29 años|14096|0|14096|524|14072|94|9|0|0
04|M|30 a 34 años|15949|0|15949|1556|15895|163|23|0|0
04|M|35 a 39 años|18539|0|18539|2976|18454|224|37|0|0
04|M|40 a 44 años|20751|0|20751|4492|20611|307|83|0|0
04|M|45 a 49 años|23352|0|23352|6194|22972|351|93|0|0
04|M|50 a 54 años|21555|0|21555|6203|21073|317|89|0|0
04|M|55 a 59 años|19127|0|19127|4775|18634|314|67|0|0
04|M|60 a 64 años|15558|0|15558|3566|15123|296|44|0|0
04|M|65 a 69 años|11911|0|11911|2474|11558|195|17|0|0
04|M|70 a 74 años|6602|0|6602|1397|6307|106|4|0|0
04|M|Más de 74 años|4975|0|4975|1327|4494|16|2|0|0
04|V|15 a 17 años|832|0|832|832|0|0|0|0|0
04|V|18 a 20 años|5200|0|5200|1423|4648|14|0|0|0
04|V|21 a 24 años|11957|0|11957|2073|11726|410|7|0|0
04|V|25 a 29 años|17802|0|17802|3102|17650|1347|74|0|0
04|V|30 a 34 años|20271|0|20271|5768|20128|2062|175|0|0
04|V|35 a 39 años|22964|0|22964|10110|22753|3137|389|0|0
04|V|40 a 44 años|25354|0|25354|12459|25062|4381|771|0|0
04|V|45 a 49 años|29862|0|29862|15460|29073|5703|1272|0|0
04|V|50 a 54 años|27872|1|27872|15239|26910|5688|2011|0|1
04|V|55 a 59 años|25009|0|25009|14201|24004|4748|2051|0|0
04|V|60 a 64 años|21694|1|21694|13541|20653|3805|1628|0|1
04|V|65 a 69 años|18321|0|18321|12555|17288|1840|646|0|0
04|V|70 a 74 años|13464|3|13464|9654|12498|708|207|0|3
04|V|Más de 74 años|19143|3|19143|15143|14290|226|77|0|3
05|M|15 a 17 años|21|1|22|21|0|0|0|0|1
05|M|18 a 20 años|615|0|615|58|604|0|0|0|0
05|M|21 a 24 años|1793|0|1793|90|1789|7|0|0|0
05|M|25 a 29 años|2725|0|2725|106|2724|11|1|0|0
05|M|30 a 34 años|2965|0|2965|331|2960|18|1|0|0
05|M|35 a 39 años|3440|0|3440|484|3430|31|10|0|0
05|M|40 a 44 años|3942|0|3942|650|3935|48|16|0|0
05|M|45 a 49 años|4751|0|4751|814|4709|53|18|0|0
05|M|50 a 54 años|4798|0|4798|953|4745|45|23|0|0
05|M|55 a 59 años|4724|0|4724|568|4671|22|5|0|0
05|M|60 a 64 años|4274|0|4274|412|4227|19|10|0|0
05|M|65 a 69 años|3300|0|3300|280|3252|6|3|0|0
05|M|70 a 74 años|1736|0|1736|129|1697|0|0|0|0
05|M|Más de 74 años|1346|0|1346|146|1281|0|0|0|0
05|V|15 a 17 años|184|1|184|184|0|0|0|0|1
05|V|18 a 20 años|1080|3|1083|265|1019|0|0|0|3
05|V|21 a 24 años|2194|2|2196|383|2183|69|0|0|2
05|V|25 a 29 años|3083|0|3083|561|3070|195|32|0|0
05|V|30 a 34 años|3426|0|3426|1079|3415|291|44|0|0
05|V|35 a 39 años|3878|0|3878|1630|3855|520|97|0|0
05|V|40 a 44 años|4341|0|4341|1974|4318|764|226|0|0
05|V|45 a 49 años|5401|0|5401|2410|5344|965|285|0|0
05|V|50 a 54 años|5652|0|5652|2609|5572|1058|426|0|0
05|V|55 a 59 años|5701|0|5701|2203|5601|1008|565|0|0
05|V|60 a 64 años|5872|1|5872|2348|5745|889|432|0|1
05|V|65 a 69 años|5544|1|5544|2356|5390|460|174|0|1
05|V|70 a 74 años|4351|2|4351|1856|4174|167|88|0|2
05|V|Más de 74 años|7615|7|7617|4695|5819|61|22|0|7
06|M|15 a 17 años|191|0|191|191|0|0|0|0|0
