COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
03|V|50 a 54 años|70514|0|70514|44627|68371|9616|3385|0|0
03|V|55 a 59 años|65188|0|65188|41334|62925|9227|3691|0|0
03|V|60 a 64 años|58409|1|58409|40144|56356|8072|3007|0|1
03|V|65 a 69 años|50237|0|50237|35054|48433|3831|1249|0|0
03|V|70 a 74 años|39575|4|39575|27174|38068|1579|449|0|4
03|V|Más de 74 años|62550|0|62550|46795|53776|808|222|0|0
04|M|15 a 17 años|97|0|97|97|0|0|0|0|0
04|M|18 a 20 años|2704|0|2704|183|2623|1|0|0|0
04|M|21 a 24 años|9164|0|9164|285|9138|35|0|0|0
04|M|25 a 29 años|14038|0|14038|525|14012|84|9|0|0
04|M|30 a 34 años|16058|0|16058|1647|16008|169|23|0|0
04|M|35 a 39 años|18555|0|18555|2992|18466|212|36|0|0
04|M|40 a 44 años|20987|0|20987|4629|20843|318|86|0|0
04|M|45 a 49 años|23402|0|23402|6259|23003|352|88|0|0
04|M|50 a 54 años|21410|0|21410|6155|20936|330|88|0|0
04|M|55 a 59 años|19054|0|19054|4687|18555|388|62|0|0
04|M|60 a 64 años|15407|0|15407|3497|14975|377|43|0|0
04|M|65 a 69 años|11616|0|11616|2404|11265|264|18|0|0
04|M|70 a 74 años|6534|0|6534|1394|6238|93|3|0|0
04|M|Más de 74 años|4832|0|4832|1323|4363|15|2|0|0
04|V|15 a 17 años|834|0|834|834|0|0|0|0|0
04|V|18 a 20 años|5115|0|5115|1425|4566|12|0|0|0
04|V|21 a 24 años|11925|0|11925|2048|11705|422|7|0|0
04|V|25 a 29 años|17773|0|17773|3118|17618|1347|71|0|0
04|V|30 a 34 años|20289|0|20289|5966|20133|2072|175|0|0
04|V|35 a 39 años|23093|0|23093|10193|22882|3188|391|0|0
04|V|40 a 44 años|25632|0|25632|12655|25325|4428|785|0|0
04|V|45 a 49 años|30040|0|30040|15577|29229|5738|1290|0|0
04|V|50 a 54 años|27665|1|27665|15203|26703|5660|2005|0|1
04|V|55 a 59 años|24925|0|24925|14227|23903|4792|2051|0|0
04|V|60 a 64 años|21541|1|21541|13558|20487|3889|1599|0|1
04|V|65 a 69 años|18100|0|18100|12461|17059|1920|632|0|0
04|V|70 a 74 años|13340|3|13340|9599|12363|693|191|0|3
04|V|Más de 74 años|19076|3|19076|15110|14207|213|74|0|3
05|M|15 a 17 años|21|1|22|21|0|0|0|0|1
05|M|18 a 20 años|651|0|651|59|642|0|0|0|0
05|M|21 a 24 años|1834|0|1834|93|1829|6|0|0|0
05|M|25 a 29 años|2706|0|2706|107|2705|13|1|0|0
05|M|30 a 34 años|2971|0|2971|344|2965|17|1|0|0
05|M|35 a 39 años|3479|0|3479|487|3470|32|10|0|0
05|M|40 a 44 años|3968|0|3968|640|3961|48|16|0|0
05|M|45 a 49 años|4786|0|4786|838|4741|52|20|0|0
05|M|50 a 54 años|4793|0|4793|944|4738|46|21|0|0
05|M|55 a 59 años|4741|0|4741|554|4690|21|7|0|0
05|M|60 a 64 años|4273|0|4273|417|4228|18|10|0|0
05|M|65 a 69 años|3209|0|3209|264|3163|5|2|0|0
05|M|70 a 74 años|1717|0|1717|130|1676|0|0|0|0
05|M|Más de 74 años|1302|0|1302|140|1238|0|0|0|0
05|V|15 a 17 años|187|1|187|187|0|0|0|0|1
05|V|18 a 20 años|1097|4|1101|269|1049|0|0|0|4
05|V|21 a 24 años|2183|2|2185|376|2172|71|0|0|2
05|V|25 a 29 años|3075|0|3075|566|3066|194|36|0|0
05|V|30 a 34 años|3451|0|3451|1126|3437|285|40|0|0
05|V|35 a 39 años|3882|0|3882|1620|3858|530|105|0|0
05|V|40 a 44 años|4379|0|4379|1999|4358|791|232|0|0
05|V|45 a 49 años|5447|0|5447|2408|5386|982|287|0|0
05|V|50 a 54 años|5640|0|5640|2616|5553|1056|431|0|0
05|V|55 a 59 años|5744|0|5744|2200|5646|1015|568|0|0
05|V|60 a 64 años|5896|2|5896|2372|5769|920|431|0|2
05|V|65 a 69 años|5509|1|5509|2360|5351|464|175|0|1
05|V|70 a 74 años|4299|2|4299|1813|4125|162|89|0|2
05|V|Más de 74 años|7596|7|7598|4727|5777|65|22|0|7
06|M|15 a 17 años|194|0|194|194|0|0|0|0|0
06|M|18 a 20 años|3024|0|3024|359|2898|0|0|0|0
06|M|21 a 24 años|9055|0|9055|462|9024|39|4|0|0
06|M|25 a 29 años|13453|0|13453|533|13439|115|31|0|0
06|M|30 a 34 años|15726|0|15726|1481|15704|133|42|0|0
06|M|35 a 39 años|17872|0|17872|2330|17844|167|58|0|0
06|M|40 a 44 años|19122|0|19122|3083|19061|192|75|0|0
06|M|45 a 49 años|21470|0|21470|3732|21298|218|71|0|0
06|M|50 a 54 años|20416|0|20416|4160|20065|121|68|0|0
06|M|55 a 59 años|18640|1|18640|2983|18273|95|63|0|1
06|M|60 a 64 años|15117|0|15117|1987|14743|34|21|0|0
06|M|65 a 69 años|10098|1|10098|1264|9767|8|4|0|1
06|M|70 a 74 años|5267|0|5267|589|5027|5|0|0|0
06|M|Más de 74 años|3542|0|3542|465|3307|1|1|0|0
06|V|15 a 17 años|1173|24|1189|1173|0|0|0|0|24
06|V|18 a 20 años|5810|2|5811|1699|5372|10|0|0|2
06|V|21 a 24 años|11205|1|11206|2101|11091|298|15|0|1
06|V|25 a 29 años|15642|0|15642|3191|15590|928|64|0|0
06|V|30 a 34 años|17515|1|17515|6832|17449|1415|137|0|1
06|V|35 a 39 años|19587|0|19587|9845|19480|2420|307|0|0
06|V|40 a 44 años|20905|2|20906|11462|20765|3398|566|0|2
06|V|45 a 49 años|23551|3|23551|12411|23165|3922|901|0|3
06|V|50 a 54 años|24484|7|24486|14087|23759|4190|1643|1|6
06|V|55 a 59 años|24159|15|24162|12900|23298|3682|1833|1|14
06|V|60 a 64 años|23586|22|23586|13533|22430|3136|1411|0|22
06|V|65 a 69 años|19864|21|19864|13792|18557|1286|497|0|21
06|V|70 a 74 años|14494|34|14494|10292|13230|374|187|0|34
06|V|Más de 74 años|26269|82|26270|21411|17348|215|99|0|82
07|M|15 a 17 años|879|0|879|879|0|0|0|0|0
07|M|18 a 20 años|4341|0|4341|1522|3600|0|0|0|0
07|M|21 a 24 años|13046|0|13046|2130|12775|22|3|0|0
07|M|25 a 29 años|22723|0|22723|4193|22530|169|53|0|0
07|M|30 a 34 años|31321|0|31321|7992|31081|345|129|0|0
07|M|35 a 39 años|35259|0|35259|12534|34901|518|248|0|0
